id,name,description
works/79220,Sky pirates,1976 film by C M Pennington-Richards
works/73683,They don't teach them like they used to,film by John Honey
works/73934,Total fitness in 30 minutes a week,1976 film
works/116031,Les Mysteres de Paris,1961 film by Marcel Cravenne
works/117683,Loose Change,2015 film
works/96833,Fred Cress,1975 film by Stafford Garner
works/83483,Not for hire,1988 film by David Caesar
works/89650,Wings under test,1947 film by S.T. Evans
works/85302,"Amphibians: frogs, toads and salamanders",1956 film
works/69991,Magic Michael,1960 film
works/96668,False note,1963 film
works/109776,Shell,2003 film
works/75894,Accident,1980 film by Keith Gow
works/94588,What's causing the problem?,1987 film
works/85561,The Awaited Messiah,1977 film by Franco Zeffirelli
works/66554,Cutting oils and fluids,1972 film by Lawrence Crabb
works/83579,Green engineering: simple solutions to water pollution,1988 film by Stephen Cozens
works/77509,Anyone anything anywhere,1983 film by Don Scheldrup
works/91918,Cincinnati automatic cycle press brake,1960 film
works/69780,The Little airplane that grew,1968 film by Pierre Rihouet
works/110774,Il Fantasista,2005 film
works/110040,My grandfather's country,2003 film
works/68774,The Image of the city,film
works/92010,The Contract,1988 film by David Ogilvy
works/65605,A Visit to the Hsin Hua School in Peking,1976 film by Betty McAfee
works/97397,Production of commercial gramophonic discs,1978 film
works/117261,Horsham's Op Shop Ladies,2011 film by Jessica Scott
works/74849,Wonder jet,1949 film
works/97089,Pacific Island life: food from the sea,1977 film by Hermann Schlenker
works/68827,In search of home,1953 film by Roger Blais
works/65313,The Beginning of life,1969 film by Lars Wallen
works/66668,Debbie and Robert: 12-24 months,1974 film by Robert Humble
works/96180,Australian diary. No. 046,1951 film by Jack S. Allan
works/71587,Pisa: story of a cathedral square,1968 film by Carlo Carlo Ludovico Ragghianti
works/65068,"Australia, land of everchange",1951 film
works/83751,Robert D. Fitzgerald,1983 film
works/88701,Three views from an ivory tower,1963 film
works/91791,France panorama.,1965 film
works/79987,A Year to Remember 1946,1965 film
works/74688,Where there's a will...,1959 film
works/68493,The Delian problem,1974 film
works/116368,Les Sesterain Ou le Miroir 2000: Episode 7,1970 film by Francois Villiers
works/81183,Giselle,1986 film
works/78211,"Indian cooking, Parsi style",1984 film
works/70203,Matilda country,1979 film by David Morgan
works/88336,Form,1954 film
works/68397,Helpem Mifala: aid for Solomon Islands,1978 film by Graham Chase
works/109853,Our wonderful pa,2004 film
works/71516,Phase diagrams,1971 film
works/117360,I've been everywhere,JUN 2011 film
works/92099,Tabaran,1992 film by Mark Gould
works/80472,Mysterious Australia: The shaping of Australia,1989 film
works/77093,Fantabiblical,1977 film by Guido Manuli
works/97383,The Dawn of motoring,1978 film by Bill Mason
works/67730,The Forest: pulp logger,1966 film
works/71527,Photo-engraving and letterpress printing,1953 film
works/92148,Uf-oh,1987 film by Glenn Melenhorst
works/95997,Conservation for beginners,1967 film
works/83005,Teachers of the world. Part 1,1993 film by Catherine Marciniak
works/109544,Flinder's Journey,2004 film
works/111369,Above the gorge,1972 film by Ken Taylor
works/110347,Home of the behemoth,2005 film
works/96676,Senses and perception: links to the outside world,"1975 film by Charles L. Finance, Giancarlo Lui"
works/116728,Yellow Pages: Goggomobil,1991 film
works/92043,Consolation prize,1979 film by Rivka Hartman
works/78177,Pictures that post,1983 film by Paul Woolston-Smith
works/97922,Baboons,1981 film
works/82387,Rembrandt: draughtsman,1984 film by Kees van Langeraad
works/85563,Sent by God,1977 film by Franco Zeffirelli
works/91223,Carcinoma of the esophagus: fluroscopic observations of adva,1953 film
works/91734,France panorama.,1972 film
works/83687,The Camomile lawn,1992 film by Peter Hall
works/82990,The Vital conductor,1993 film by Susan Moylan-Coombes
works/88389,"Imogen Cunningham, photographer",1970 film by John Korty
works/116603,Streets of Fitzroy,2007 film
works/117484,The analysis of manual skills,film
works/78278,Elephants: their last stand,1983 film
works/109831,Nerds 2.0.1: a brief history of the Internet. Ep. 3. Wiring the world,1998 film by Stephen Segaller
works/69009,Into your hand,1966 film by Rhonda Small
works/66703,The Depths of space: exterior galaxies,1953 film
works/90362,Program 3,2000 film
works/87891,In a nutshell,1976 film
works/115814,The Republic will never forget,1988 film by Zhai Junjie
works/66823,A Discussion of Fyodor Dostoyevsky's 'The Crocodile',1973 film by Larry Yust
works/88856,Forest harvesting,1977 film
works/72907,Small people,1962 film by John Morley
works/96724,Pasteur's experiments,1972 film
works/70147,Margarine from oil,film
works/81981,Learning about cells,1976 film
works/69551,Learning discriminations and skills,1956 film
works/74397,The Vision of William Blake,1958 film by Guy Brenton
works/89708,Wednesdays,1999 film by Jeremy Stanford
works/96591,The Pre-Raphaelite revolt,1972 film by David Thompson
works/75407,Good news day,1975 film by Phillip Mark-Law
works/74181,The Unfinished revolution,1962 film by Michael Alexander
works/81804,Now or never,1990 film by Linda Harrar
works/69954,Lyn McLain,1969 film by Robert Pierce
works/108783,The Trip,2002 film
works/91121,Leslie's cube,1949 film
works/67561,"First of all, water",1975 film by Ake Backlund
works/110007,Extending boundaries,2004 film
works/84758,"Concepts, memories & catagories",1992 film by Darrel Schwandt
works/86797,Olympic coins,1975 film
works/117442,WCFT,2013 film
works/96762,Rock pools: an introduction,1973 film by Donald Walton
works/89415,The Gary Crew video,2000 film by Mark Waters
works/64938,Artists must live,1952 film by John Read
works/77786,Nature boy,1983 film
works/77604,Nfbc Animation Collection Tape 2,1968 film
works/96889,Fable of he and she,1974 film by Eliot Noyes
works/68005,Mirror of Germany. No. 302,1979 film
works/87196,Tiger shikar in India,1954 film by Ellis R. Duncan
works/85687,Acupuncture,1996 film by Celia Tait
works/86062,Bridging the gap,1977 film by Justin Milne
works/69590,Lenin's Russia,1971 film
works/77026,Sprints,1981 film
works/108816,Et cetera. Episode 7,2000 film by David McLauchlan
works/90310,A Foreign language,1958 film by Stanley Jackson
works/79268,Cry Havoc Mozambique,1987 film
works/71182,Operation and care of the Bell and Howell projector,1951 film
works/72537,Science of the sea,1956 film
works/78689,Overnight Sensation,1984 film
works/117533,Rome : city eternal / Encyclopaedia Britannica and F.W. and E.S. Keller,1951 film
works/67034,Edward John Eyre,1959 film by Bill Mason
works/73800,"Through my eyes: Kilkenny Primary School, South Australia",1973 film by Donald Crombie
works/87307,The DNA connection,1993 film
works/91895,Cliff hanging moments from the serials,film
works/81585,Donald Friend,1975 film
works/84781,Supervisors in action: a school crossing supervisor's training video,1994 film by Greg Smith
works/64686,Almost a formal beginning,1973 film by Richard Mitchell
works/74844,Butterfly women,1975 film
works/108013,What's up dog?,1995 film by Greg Zaritski
works/77760,Private and confidential,1983 film by Joe Bogdanov
works/72108,Rediscovered harmonies,1959 film by Lucien Peroisy
works/77090,A Dose of reality,1978 film
works/69668,Life in a fishing village,1948 film
works/96530,Sacred Heart College for boys,1974 film
works/115810,The King of Sulu and The Emperor of China,"1987 film by Eddie Remero, Xiao Lang"
works/72138,Removing or installing a compressor or condenser,1955 film
works/82646,The Neighbourhood,1989 film by Robin James
works/99387,Nangiloc-Colignan Community Tackles Salinity,1987 film
works/85236,Romeo and Juliet,1995 film
works/69097,Iron Island,1950 film
works/99035,Skinsense,1987 film by Peter Bence
works/73811,Tibetan traders,1957 film by J. Michael Hagopian
works/79909,Matter of heart,1985 film by Michael Whitney
works/85748,No apple for Johnny,1977 film by John Weldon
works/86538,Mirror of Germany. No. 074,1960 film
works/73464,Take the bus,1971 film
works/70855,New life for a Spanish farmer,1969 film
works/96868,Topology,1969 film by Harold Whitaker
works/81749,Ways of thinking,1990 film by Digby Duncan
works/98780,Principal choice,1985 film by Jeff Spencer
works/76393,The Swimmer,1971 film by Malcolm Smith
works/71933,The Proud city: A plan for London,1945 film by Ralph Keene
works/75947,Sky Dive,film
